1,0.53704,0.53704,0.99383,0.53704,1,1,1,1,1,1,1,1,1,1,1
0.96296,0.35185,0.037037,0.90123,0.2037,0.96296,0.96296,0.96296,0.96296,0.96296,0.85185,0.85185,0.85185,0.85185,0.85185,0.85185
1,0.38889,0.25926,1,0.57407,1,1,1,1,1,1,1,1,1,1,1
1,0.18519,0.037037,1,0.35802,1,1,1,1,1,1,1,1,1,1,1
0.96914,0.53704,0.57407,0.91975,0.57407,0.96914,0.96914,0.96914,0.96914,0.96914,0.96914,0.96914,0.96914,0.96914,0.96914,0.96914
1,0.37037,0.21605,1,0.38272,1,1,1,1,1,1,1,1,1,1,1
1,0.21605,0.37654,1,0.23457,1,1,1,1,1,1,1,1,1,1,1
1,0.51852,0.18519,1,0.53704,1,1,1,1,1,1,1,1,1,1,1
1,0.018519,0.2037,0.95679,0.33333,1,1,1,1,1,0.98148,0.98148,0.98148,0.98148,0.98148,0.98148
1,0.51852,0.51852,1,0.53704,1,1,1,1,1,1,1,1,1,1,1
