0.99383,0.037037,0.37654,0.98765,0.37654,0.99383,0.99383,0.99383,0.99383,0.99383,1,1,1,1,1,1
0.61728,0.37037,0.19136,0.62346,0.2037,0.61728,0.61728,0.61728,0.61728,0.61728,0.59877,0.59877,0.59877,0.59877,0.59877,0.59877
1,0.18519,0.57407,1,0.53704,1,1,1,1,1,1,1,1,1,1,1
0.99383,0.18519,0.53704,1,0.53704,0.99383,0.99383,0.99383,0.99383,0.99383,1,1,1,1,1,1
0.93827,0.22222,0.40741,0.95679,0.42593,0.93827,0.93827,0.93827,0.93827,0.93827,0.89506,0.89506,0.89506,0.89506,0.89506,0.89506
1,0.037037,0.38272,1,0.55556,1,1,1,1,1,1,1,1,1,1,1
1,0.2037,0.21605,1,0.39506,1,1,1,1,1,1,1,1,1,1,1
0.95062,0.51852,0.51852,0.90741,0.53704,0.95062,0.95062,0.95062,0.95062,0.95062,0.92593,0.92593,0.92593,0.92593,0.92593,0.92593
1,0,0.18519,1,0.33333,1,1,1,1,1,1,1,1,1,1,1
0.84568,0.35185,0.18519,0.95062,0.35802,0.84568,0.84568,0.84568,0.84568,0.84568,0.80247,0.80247,0.80247,0.80247,0.80247,0.80247
